id;created_at;updated_at;date_entretien;type_collecte;statut;q1_ca_annuel;q2_taux_closing;q3_objectifs;q4_atteinte_objectifs;q5_top_depuis;q6_jours_semaine;q7_heures_jour;q8_semaines_vacances;q9_check_vacances;q10_anciennete;q11_heure_lever_semaine;q12_heure_lever_weekend;q13_reveil_type;q14_premiere_action;q15_touche_tel_apres;q16_activites_matin;q17_sport_matin_duree;q18_routine_duree;q19_routine_identique;q20_petit_dej;q21_energie_11h;q22_heure_debut_prosp;q23_agenda_avance;q24_type_agenda;q25_nb_rdv_jour;q26_duree_rdv_moyen;q27_creneaux_prosp;q28_creneaux_admin;q29_battement_rdv;q30_planif_hebdo;q31_temps_planif_hebdo;q32_prep_lendemain;q33_temps_prep_lendemain;q34_bilan_soir;q35_todo_list;q36_nb_taches_todo;q37_priorisation;q38_nb_appels_jour;q39_blocs_prosp_duree;q40_nb_blocs_jour;q41_moments_prosp;q42_delai_relance;q43_nb_relances;q44_script_appel;q45_linkedin_ajouts;q46_linkedin_messages;q47_emails_prosp;q48_perso_messages;q49_recherche_prospect;q50_prep_rdv_duree;q51_parle_ecoute;q52_nb_questions;q53_presentation_offre;q54_delai_relance_rdv;q55_delai_signature;q56_propositions;q57_envoi_prop_delai;q58_closing_mode;q59_tentatives_signature;q60_reponse_mails;q61_moments_check_mails;q62_reponse_whatsapp;q63_notes_contacts;q64_maj_crm;q65_prospects_actifs;q66_automatisation;q67_outils_quotidiens;q68_sport_freq;q69_sport_types;q70_sport_moment;q71_sommeil_heures;q72_heure_coucher;q73_duree_dejeuner;q74_coup_barre;q75_energie_18h;q76_temps_formation;q77_outils_formation;q78_roleplay;q79_perte_vente;q80_discipline;q81_secteur;q82_statut;q83_taille_structure;q84_equipe;q85_taille_equipe;q86_repartition_leads_reco;q86_repartition_leads_tel_froid;q86_repartition_leads_linkedin;q86_repartition_leads_fichier_existant;q86_repartition_leads_fichier_boite;q86_repartition_leads_events;q86_repartition_leads_inbound;q86_repartition_leads_emails_froid;q86_repartition_leads_partenaires;q86_repartition_leads_pub;q87_source_principale;q88_nb_clients_base;q89_temps_build_reco;q90_debut_carriere_prosp;q91_demande_reco_systematique;q92_comment_demande_reco;q93_recompense_reco;q94_freq_recontact_clients;q95_raisons_recontact;q96_voeux_clients;q97_events_clients;q98_ambassadeurs;q99_special_ambassadeurs;q100_strategie_top_mind;q101_fichiers_prosp;q102_qualif_fichier;q103_script_accroche;q104_enregistre_appels;q105_coach_ecoute;q106_mesure_conversion;q107_nb_events_mois;q108_types_events;q109_recontact_events;q110_delai_recontact_events;q111_notes_rencontre;q112_elevator_pitch;q113_nb_contacts_linkedin;q114_publie_linkedin;q115_type_contenu_linkedin;q116_interagit_linkedin;q117_strategie_branding;q118_inbound_linkedin;q119_demande_avis;q120_nb_avis;q121_google_trouve;q122_site_perso;q123_investit_reputation;q124_reseaux_pro;q125_organisations;audio_url;notes_qualitatives;citations_marquantes;insights_uniques;score_qualite_entretien;tags;lead_email;lead_prenom;lead_nom;lead_optin;lead_optin_date;lead_source;lead_utm_source;lead_utm_medium;lead_utm_campaign;secteur_activite;secteur_activite_autre;q3_nb_transactions;q4_nb_mandats_portefeuille;q5_jours_semaine;q7_auto_eval;q8_heure_lever;q9_heure_debut_travail;q10_duree_routine;q11_elements_routine;q12_stabilite_routine;q13_energie_11h;q14_routine_ideale;q15_horizon_agenda;q11_methode_planning;q17_bloquer_prospection;q18_heures_prospection_bloquees;q19_organisation_journee;q12_respect_planning;q_raison_non_respect;q88_source_secondaire;q16_regularite_prospection;q17_heures_prospection;q21_nb_contacts_prospection;q23_canaux_prospection;q18_scripts;q19_systeme_suivi;q_nb_relances;q_mesure_prospection;q13_nb_rdv_semaine;q28_duree_rdv;q29_trame_rdv;q30_taux_transformation;q32_qualite_preparation;q31_apres_rdv_sans_mandat;q33_differenciation_rdv;q_demande_reco;q_systeme_avis;q15_usage_crm;q34_crm_principal;q35_discipline_crm;q36_automatisations;q38_modeles_messages;q37_temps_systeme;q_tache_a_automatiser;q20_heures_sommeil;q40_heure_coucher;q21_frequence_sport;q42_duree_seance_sport;q43_coup_de_barre;q22_energie_globale;q_pauses;q_gestion_stress;q_separation_vie;q23_temps_formation;q46_sources_progression;q47_plan_progression;q_analyse_perfs;q14_suivi_resultats;q48_temps_digerer_echec;q49_confiance_3ans;q50_frein_principal;q51_presence_reseaux;q52_frequence_posts;q53_type_contenu;q54_nb_avis_positifs;q55_strategie_avis;q56_participation_events;q57_nb_events_annee;q58_partenariats_actifs;q60_importance_reputation;q24_ressenti_actuel;q_motivation_principale;q_objectifs_chiffres;q_comparaison_autres;q_mentor;q_gestion_motivation;q_chance_vs_travail;q_difference_meilleurs;q25_une_amelioration;q_habitude_prioritaire;q_defi_actuel;q_question_aux_tops;q_commentaires_libres;last_completed_step;completion_time;device_type;referral_source;type_structure;age_range;anciennete_range;zone_geo;code_postal;q6_heures_semaine;q6_heures_semaine_range;q16_outil_agenda;q20_respect_previsions;q22_freq_prospection;q24_repartition_rdv_reco;q24_repartition_rdv_prospection;q24_repartition_rdv_leads;q24_repartition_rdv_reseaux;q24_repartition_rdv_events;q25_sequence_relance;q26_rigueur_prospection;q27_nb_rdv_vendeurs;q39_heures_sommeil;q41_seances_sport;q44_energie_semaine;q45_heures_formation;q59_outils_reputation;q_pourcent_reco;q_freq_demande_reco;q_moment_demande_reco;q_methode_demande_reco;q_recontact_anciens
07942afa-63b1-4b64-ad5c-90eaa22effa6;2025-12-23 06:42:45.441265+00;2025-12-23 06:42:44.469+00;2025-12-23;formulaire_web;realise;250K-500K;>5;;;;;8-10h;6;oui_parfois;>10ans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;recommandations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 1;Interview 1;true;2025-12-23 06:36:22.476+00;questionnaire_web;;;;Immobilier (mandataire / agence);;20;40;5j;au-dessus;6h30-7h;7h30-8h;30-60min;"[""lecture"",""petit_dej_complet"",""check_mails""]";tres_stable;10;;mois;"[""agenda_papier""]";non;;"[""blocs_thematiques"",""matin_priorites""]";toujours;urgences;partenariats;quelques_fois_mois;30min-1h;;"[""partenaires""]";trame_generale;feeling;1-2;parfois;;;;;;"[""analyse""]";;oui_systematique;oui_automatise;oui_partiel;Maison;temps_reel;"[""signature_elec"",""ia_assistant""]";oui_quelques;0;;6-7h;22h-22h30;2-3_semaine;1-2h;jamais;10;oui_dejeuner;non;plutot_claire;1-2h;"[""livres"",""youtube"",""formations"",""coaching""]";opportuniste;oui_mensuel;"[""ca"",""nb_clients"",""satisfaction""]";quelques_heures;10;;"[""aucun""]";;;>50;oui_systematique;jamais;;oui_informel;;montee;liberte;oui_general;oui_motivant;oui_actif;pause;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>75;systematique;pendant;direct_oral;occasionnel
0ceec6e1-8c81-4b90-826d-e4b6778b8d7b;2025-12-22 09:48:10.454987+00;2025-12-22 09:48:09.54+00;2025-12-22;formulaire_web;realise;100K-250K;4-5;;;;;8-10h;4-5;oui_tous_jours;3-5ans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;recommandations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 2;Interview 2;true;2025-12-22 09:07:21.487+00;questionnaire_web;;;;Immobilier (mandataire / agence);;34;40;6j;au-dessus;6h30-7h;avant_7h;30-60min;"[""lecture"",""petit_dej_complet"",""planning_journee"",""check_mails""]";tres_stable;8;;semaine;"[""google_calendar"",""crm""]";non;;"[""blocs_thematiques""]";souvent;sous_estime;reseaux_sociaux;;;;;trame_generale;feeling;1-2;non;15-20;1-1h30;feeling;40-60;recherche_complete;"[""analyse""]";;oui_souvent;oui_manuel;oui_basique;Maison;quotidien;;oui_quelques;<1h;;7-8h;22h30-23h;jamais;;apres_dejeuner;6;parfois;non;pas_separation;1-2h;"[""formations"",""youtube"",""livres""]";opportuniste;oui_mensuel;"[""ca"",""nb_clients"",""satisfaction""]";quelques_heures;10;;"[""facebook""]";3-5_semaine;"[""conseils"",""reussites""]";>50;oui_systematique;rarement;;oui_structure;10;montee;reconnaissance;non_direction;oui_motivant;oui_actif;formation;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>75;systematique;pendant;direct_oral;rarement
137cf528-5cbe-40f1-87d3-5df75aa4d891;2025-12-24 06:53:24.595042+00;2025-12-24 06:53:24.595042+00;2025-12-24;formulaire_web;realise;250K-500K;>5;;;;;8-10h;6;oui_tous_jours;>10ans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;recommandations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 3;Interview 3;true;2025-12-24 06:47:47.018+00;;;;;immobilier;;20;30;6j;top5-10;6h30-7h;7h-7h30;30-60min;"[""petit_dej_complet"",""check_mails""]";tres_stable;9;;mois;"[""agenda_papier""]";oui_flexible;1;"[""blocs_thematiques""]";toujours;urgences;reseaux_sociaux;1-2_fois_semaine;1-2h;2;"[""partenaires""]";trame_generale;feeling;3-5;oui_global;15-20;1-1h30;oui_flexible;>60;recherche_complete;"[""email_recap"",""ajout_crm""]";;oui_systematique;oui_manuel;oui_partiel;Maison;temps_reel;"[""signature_elec"",""ia_assistant""]";oui_quelques;0;;6-7h;22h-23h;jamais;;jamais;9;oui_dejeuner;non;pas_separation;1-2h;"[""podcasts"",""formations"",""coaching""]";opportuniste;oui_hebdo;"[""ca"",""satisfaction""]";1-2_jours;10;;"[""linkedin"",""facebook""]";3-5_semaine;"[""conseils"",""reussites"",""actualites""]";>50;oui_systematique;rarement;;oui_informel;10;stable;liberte;oui_precis;oui_motivant;oui_informel;pause;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>75;systematique;livraison;oral_direct;oui_parfois
39ae8ffb-2718-4391-bd95-8aeb750bd1e9;2025-12-23 06:51:36.393947+00;2025-12-23 06:51:35.788+00;2025-12-23;formulaire_web;realise;500K-1M;>5;;;;;8-10h;4-5;oui_tous_jours;>10ans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;prospection_tel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 4;Interview 4;true;2025-12-23 06:43:13.659+00;questionnaire_web;;;;Vente B2B (commercial, account manager…);;200;209;6j;top5-10;6h-6h30;7h-7h30;30-60min;"[""lecture"",""petit_dej_complet"",""check_mails""]";tres_stable;9;;trimestre;"[""agenda_papier""]";oui_flexible;5;"[""blocs_thematiques""]";toujours;je_respecte;recommandations;tous_jours;<30min;10;"[""telephone""]";oui_tout;feeling;jamais_abandonner;oui_global;15-20;1-1h30;oui_flexible;>60;recherche_complete;"[""relance_programmee"",""email_recap"",""analyse""]";;oui_souvent;non;oui_partiel;Maison;quotidien;"[""email_auto"",""signature_elec""]";oui_quelques;<1h;;7-8h;22h-22h30;4-5_semaine;45-60min;jamais;10;oui_dejeuner;non;pas_separation;1-2h;"[""formations"",""coaching""]";opportuniste;oui_hebdo;"[""ca"",""nb_clients"",""nb_prospects""]";1-2_jours;9;;"[""linkedin""]";1-2_mois;"[""reseautage""]";;;;;non;9;montee;defi;oui_precis;oui_motivant;oui_informel;pause;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10-25;souvent;pendant;direct_oral;regulier_3_6mois
4c8e80db-6c18-4165-8168-4fd26d70acf2;2025-12-22 09:05:19.302359+00;2025-12-22 09:05:18.327+00;2025-12-08;formulaire_web;realise;250K-500K;>5;;;;;8-10h;6;oui_parfois;>10ans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;recommandations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 5;Interview 5;true;2025-12-22 08:57:28.83+00;questionnaire_web;;;;Immobilier (mandataire / agence);;26;40;6j;top5-10;6h30-7h;7h-7h30;<30min;"[""lecture"",""check_mails"",""planning_journee""]";tres_stable;10;;mois;"[""google_calendar""]";oui_hebdo;0;"[""blocs_thematiques""]";toujours;urgences;reseaux_sociaux;tous_jours;30min-1h;;"[""email"",""pas_prospection""]";trame_generale;oui_structure;3-5;parfois;15-20;1-1h30;oui_flexible;>60;recherche_complete;"[""email_recap"",""ajout_crm"",""relance_programmee""]";;oui_souvent;oui_automatise;oui_partiel;CRM Maison;temps_reel;"[""signature_elec"",""ia_assistant""]";oui_beaucoup;<1h;;6-7h;23h-23h30;jamais;;jamais;9;oui_dejeuner;non;floue;1-2h;"[""livres"",""formations"",""coaching""]";opportuniste;oui_mensuel;"[""ca"",""nb_clients""]";1-2_jours;9;;"[""facebook"",""linkedin"",""instagram""]";3-5_semaine;"[""conseils"",""reussites""]";>50;oui_systematique;occasionnel;3;oui_informel;9;stable;liberte;oui_general;oui_motivant;oui_actif;pause;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>75;systematique;pendant;direct_oral;occasionnel
9ded224b-f0a6-4305-a5b4-5aa2f35e18b7;2025-11-17 09:49:30.820898+00;2025-11-17 09:49:30.820898+00;2025-11-17;entretien_zoom;realise;<100K;3-4;fixe_moi;4-6mois;pas_top;6j;8-10h;2-3;oui_parfois;3-5ans;5h30-6h;meme;naturel;Je bois de l'eau ;15-30min;"[""Café seulement""]";pas_sport;45min-1h;oui_80-90;oui_leger;3-4;8h-8h30;jour_jour;papier;4-5;45min-1h;parfois;entre_rdv;45min-1h;oui_parfois;15-30min;oui_3-4x;10-20min;oui_mental;oui_parfois;4-6;rapides;20-40;15-30min;1;"[""En matinée (9h-12h)""]";1sem;4-6;oui_flexible;10-30;1-10;20-50;oui_trame;oui_15-30min;5-15min;50-50;6-10;essentiel;2-3j;2-4sem;non;lendemain;toujours_physique;2-3;2x_jour_fixes;"[""À midi""]";journee;tel;fin_journee;10-30;oui_beaucoup;"[""Calendly ou équivalent""]";3x;"[""Sports collectifs""]";matin;6-7h;22h-22h30;<15min;oui_souvent;3-4;<1h;"[""Coach/mentor""]";rarement;passe_autre;3-4;IMMOBILIER;mandataire;>100;oui_manage;4-6;5;5;0;0;0;0;0;0;0;0;Recommandations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 6;Interview 6;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fc7ed71d-b13a-4458-b50f-92c114d9a5aa;2025-11-18 08:43:21.711293+00;2025-11-18 08:43:21.711293+00;2025-11-18;entretien_zoom;realise;500K-1M;3-4;non;depasse_toujours;>2ans;5.5j;8-10h;4-5;oui_tous_jours;>10ans;6h-6h30;meme;naturel;Je prepare loàn petit déjeuner;<5min;"[""Petit-déjeuner complet"",""Douche chaude"",""Sport/exercice""]";15-30min;1h-1h30;oui_exactement;oui_complet;9-10;8h30-9h;1mois+;papier;4-5;>1h;non;soir_weekend;15min;oui_toujours;15-30min;oui_tous_soirs;10-20min;oui_mental;oui_papier;1-3;chronologique;10-20;15-30min;4;"[""En matinée (9h-12h)"",""Après le déj (12h-14h)"",""Après-midi (14h-17h)"",""Tôt le matin (avant 9h)"",""Fin de journée (17h-19h)""]";1j;>10;non_improvise;1-10;0;>100;non_copie;non;15-30min;50-50;3-5;depend;lendemain;<1sem;si_demande;jour_meme;principalement_physique;2-3;immediat;"[""Dès le réveil""]";immediat;papier;immediat;<10;non_manuel;"[""Juste mail et téléphone"",""CRM (Salesforce, Hubspot, Pipedrive...)"",""WhatsApp Business""]";5x;"[""Musculation/fitness""]";soir;6-7h;<22h;30-45min;rarement;7-8;1-2h;"[""Formations en ligne""]";oui_mensuel;analyse;9-10;Pharmacie;mandataire;seul;non_seul;;0;10;0;0;0;0;0;0;0;0;Prospection à froid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 7;Interview 7;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07942afa-63b1-4b64-ad5c-90eaa22effa6;2025-12-23 06:42:45.441265+00;2025-12-23 06:42:44.469+00;2025-12-23;formulaire_web;realise;250K-500K;>5;;;;;8-10h;6;oui_parfois;>10ans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;recommandations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 8;Interview 8;true;2025-12-23 06:36:22.476+00;questionnaire_web;;;;Immobilier (mandataire / agence);;20;40;5j;au-dessus;6h30-7h;7h30-8h;30-60min;"[""lecture"",""petit_dej_complet"",""check_mails""]";tres_stable;10;;mois;"[""agenda_papier""]";non;;"[""blocs_thematiques"",""matin_priorites""]";toujours;urgences;partenariats;quelques_fois_mois;30min-1h;;"[""partenaires""]";trame_generale;feeling;1-2;parfois;;;;;;"[""analyse""]";;oui_systematique;oui_automatise;oui_partiel;Maison;temps_reel;"[""signature_elec"",""ia_assistant""]";oui_quelques;0;;6-7h;22h-22h30;2-3_semaine;1-2h;jamais;10;oui_dejeuner;non;plutot_claire;1-2h;"[""livres"",""youtube"",""formations"",""coaching""]";opportuniste;oui_mensuel;"[""ca"",""nb_clients"",""satisfaction""]";quelques_heures;10;;"[""aucun""]";;;>50;oui_systematique;jamais;;oui_informel;;montee;liberte;oui_general;oui_motivant;oui_actif;pause;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>75;systematique;pendant;direct_oral;occasionnel
07942afa-63b1-4b64-ad5c-90eaa22effa6;2025-12-23 06:42:45.441265+00;2025-12-23 06:42:44.469+00;2025-12-23;formulaire_web;realise;250K-500K;>5;;;;;8-10h;6;oui_parfois;>10ans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;recommandations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 9;Interview 9;true;2025-12-23 06:36:22.476+00;questionnaire_web;;;;Immobilier (mandataire / agence);;20;40;5j;au-dessus;6h30-7h;7h30-8h;30-60min;"[""lecture"",""petit_dej_complet"",""check_mails""]";tres_stable;10;;mois;"[""agenda_papier""]";non;;"[""blocs_thematiques"",""matin_priorites""]";toujours;urgences;partenariats;quelques_fois_mois;30min-1h;;"[""partenaires""]";trame_generale;feeling;1-2;parfois;;;;;;"[""analyse""]";;oui_systematique;oui_automatise;oui_partiel;Maison;temps_reel;"[""signature_elec"",""ia_assistant""]";oui_quelques;0;;6-7h;22h-22h30;2-3_semaine;1-2h;jamais;10;oui_dejeuner;non;plutot_claire;1-2h;"[""livres"",""youtube"",""formations"",""coaching""]";opportuniste;oui_mensuel;"[""ca"",""nb_clients"",""satisfaction""]";quelques_heures;10;;"[""aucun""]";;;>50;oui_systematique;jamais;;oui_informel;;montee;liberte;oui_general;oui_motivant;oui_actif;pause;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>75;systematique;pendant;direct_oral;occasionnel
0ceec6e1-8c81-4b90-826d-e4b6778b8d7b;2025-12-22 09:48:10.454987+00;2025-12-22 09:48:09.54+00;2025-12-22;formulaire_web;realise;100K-250K;4-5;;;;;8-10h;4-5;oui_tous_jours;3-5ans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;recommandations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interview 10;Interview 10;true;2025-12-22 09:07:21.487+00;questionnaire_web;;;;Immobilier (mandataire / agence);;34;40;6j;au-dessus;6h30-7h;avant_7h;30-60min;"[""lecture"",""petit_dej_complet"",""planning_journee"",""check_mails""]";tres_stable;8;;semaine;"[""google_calendar"",""crm""]";non;;"[""blocs_thematiques""]";souvent;sous_estime;reseaux_sociaux;;;;;trame_generale;feeling;1-2;non;15-20;1-1h30;feeling;40-60;recherche_complete;"[""analyse""]";;oui_souvent;oui_manuel;oui_basique;Maison;quotidien;;oui_quelques;<1h;;7-8h;22h30-23h;jamais;;apres_dejeuner;6;parfois;non;pas_separation;1-2h;"[""formations"",""youtube"",""livres""]";opportuniste;oui_mensuel;"[""ca"",""nb_clients"",""satisfaction""]";quelques_heures;10;;"[""facebook""]";3-5_semaine;"[""conseils"",""reussites""]";>50;oui_systematique;rarement;;oui_structure;10;montee;reconnaissance;non_direction;oui_motivant;oui_actif;formation;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>75;systematique;pendant;direct_oral;rarement
